word,coefficient
maybe,-0.4953187775876577
think so,-0.49694067272802933
great,-0.4990808906044176
surgery,-0.500309906997448
savages,-0.5100151212880131
enjoyed,-0.5162691256129796
it all,-0.5473447192075704
clinton,-0.5501607470376372
dogs,-0.5511609753465845
thanks,-0.5588742381889913
are you,-0.5739336772346006
conversation,-0.5744974950093833
research,-0.5989475969838547
the article,-0.5999366752433037
chat,-0.610852858893899
hello,-0.6121841287342301
tell me,-0.6163387648583788
interesting,-0.6279705757143127
did you,-0.6332680728349824
news,-0.6341910573407957
china,-0.6531997397010284
you think,-0.665702751852463
lol,-0.6989373957156314
trump,-0.703439715325768
remember,-0.7319701505125519
you feel,-0.8237071176353109
do you,-0.9272591848242705
you,-0.9622360606106134
goodbye,-0.9871827332327284
bye,-0.989276795767779
